model,year,motor_type,running,wheel,color,type,status,motor_volume,price
toyota,2022,petrol,3000  km,left,skyblue,sedan,excellent,2.0,24500
mercedes-benz,2014,petrol,132000  km,left,black,sedan,excellent,2.0,25500
kia,2018,petrol,95000  miles,left,other,sedan,excellent,2.0,11700
mercedes-benz,2002,petrol,137000  miles,left,golden,sedan,excellent,3.2,12000
mercedes-benz,2017,petrol,130000  km,left,black,sedan,good,2.0,26000
mercedes-benz,2001,petrol,286293  km,left,blue,sedan,good,1.8,6000
nissan,2019,petrol,49000  miles,left,gray,suv,excellent,2.0,23200
nissan,2018,petrol,70000  miles,left,silver,suv,excellent,2.5,19800
mercedes-benz,2019,petrol,85000  km,left,black,sedan,excellent,2.0,7000
hyundai,2021,petrol,58000  miles,left,silver,sedan,crashed,2.0,13900
nissan,2018,petrol,50000  miles,left,black,suv,excellent,2.5,18500
nissan,2016,petrol,135800  km,left,silver,suv,excellent,2.0,16800
mercedes-benz,2007,petrol,191000  km,left,silver,sedan,good,2.5,7800
toyota,2018,petrol,220000  km,left,silver,sedan,excellent,2.0,14300
hyundai,2019,petrol,38100  miles,left,black,sedan,excellent,2.0,15300
nissan,2018,petrol,102000  miles,left,white,Universal,good,2.0,16900
hyundai,2018,petrol,126000  km,left,white,sedan,excellent,1.6,14300
toyota,2017,gas,98000  km,left,white,sedan,excellent,2.0,17500
toyota,2017,petrol,60000  miles,left,white,sedan,excellent,2.0,15500
toyota,2017,petrol,99000  km,left,white,sedan,excellent,1.6,22000
mercedes-benz,2011,petrol,230000  km,left,gray,sedan,excellent,2.0,12700
hyundai,2019,petrol,33000  miles,left,black,sedan,excellent,2.0,14800
kia,2016,petrol,630000  miles,left,white,sedan,excellent,2.0,12500
hyundai,2022,petrol,7000  miles,left,black,sedan,excellent,2.0,23800
kia,2010,petrol,194000  miles,left,clove,sedan,good,2.0,7600
nissan,2018,petrol,50000  miles,left,white,suv,good,2.0,19000
hyundai,2014,petrol,92000  miles,left,black,sedan,excellent,1.8,11100
nissan,2017,petrol,65000  miles,left,orange,Universal,excellent,2.5,20500
hyundai,2012,petrol,143  miles,left,gray,sedan,good,1.8,10500
mercedes-benz,2010,petrol,238371  km,left,black,sedan,good,3.0,12300
hyundai,2019,petrol,45000  km,left,red,sedan,excellent,1.6,19000
kia,2019,petrol,64000  miles,left,black,sedan,excellent,2.0,17000
toyota,2017,gas,80000  miles,left,black,sedan,excellent,2.0,15000
hyundai,2018,petrol,44000  miles,left,white,sedan,excellent,2.0,16200
kia,2019,petrol,78900  miles,left,red,sedan,crashed,2.0,11000
mercedes-benz,2002,petrol,185000  km,left,other,sedan,normal,2.0,6800
nissan,2019,petrol,76000  miles,left,white,suv,excellent,2.5,17800
hyundai,2015,petrol,18000  km,left,black,sedan,excellent,2.0,15500
mercedes-benz,2010,petrol,210000  km,left,black,sedan,excellent,2.0,10900
mercedes-benz,1997,gas,144000  km,left,white,sedan,excellent,2.0,8200
toyota,2017,gas,105000  km,left,white,sedan,excellent,2.0,19700
kia,2019,petrol,74000  km,left,gray,sedan,excellent,2.0,16500
hyundai,2018,petrol,68000  miles,left,black,sedan,good,2.0,16500
kia,2019,petrol,107000  km,left,white,sedan,crashed,2.0,12500
kia,2019,petrol,30000  miles,left,red,sedan,excellent,2.0,15000
kia,2019,petrol,57000  miles,left,white,sedan,excellent,2.0,16500
hyundai,2018,petrol,20000  miles,left,blue,sedan,excellent,2.0,15750
mercedes-benz,1998,petrol,200000  km,left,green,sedan,good,3.2,5500
mercedes-benz,2008,petrol,250  km,left,white,sedan,good,3.0,10800
mercedes-benz,2001,gas,260000  km,left,white,sedan,good,2.0,6000
nissan,2021,petrol,38000  km,left,blue,suv,excellent,2.5,8375
hyundai,2021,petrol,30500  km,left,gray,sedan,excellent,2.0,25500
toyota,2019,petrol,80000  km,left,white,sedan,good,2.0,17700
kia,2021,petrol,13000  miles,left,black,sedan,excellent,2.0,21500
nissan,2009,petrol,143000  miles,left,other,suv,good,2.0,9300
nissan,2018,petrol,34000  miles,left,orange,suv,excellent,2.0,18700
hyundai,2023,petrol,700  miles,left,black,sedan,crashed,2.0,24000
hyundai,2020,petrol,15000  miles,left,black,sedan,good,2.0,17200
kia,2017,petrol,85000  miles,left,white,sedan,excellent,2.0,12600
kia,2017,petrol,82000  miles,left,silver,sedan,excellent,2.0,13200
toyota,2022,petrol,2251  km,left,red,sedan,excellent,2.0,30000
toyota,2017,petrol,130000  km,left,blue,sedan,excellent,1.8,15700
hyundai,2020,petrol,68000  km,left,silver,sedan,excellent,2.5,14850
toyota,2014,petrol,92215  km,left,white,sedan,excellent,2.0,13900
nissan,2018,petrol,39243  miles,left,silver,suv,excellent,2.5,24900
mercedes-benz,1999,petrol,380000  km,left,black,sedan,excellent,2.0,6300
nissan,2020,petrol,24000  miles,left,black,suv,excellent,2.0,18700
mercedes-benz,2016,petrol,60000  km,left,gray,sedan,excellent,2.0,31000
kia,2020,petrol,39000  miles,left,gray,sedan,excellent,2.0,16200
mercedes-benz,2008,petrol,230000  km,left,white,sedan,excellent,2.0,11200
mercedes-benz,1995,gas,300000  km,left,silver,sedan,good,1.8,15750
mercedes-benz,2001,gas,300000  km,left,silver,sedan,excellent,2.0,15750
mercedes-benz,2000,gas,317000  km,left,black,sedan,good,2.0,5200
hyundai,2020,petrol,11000  miles,left,black,sedan,excellent,2.0,13500
nissan,2017,petrol,95000  miles,left,orange,suv,excellent,2.0,17500
kia,2020,petrol,20999  miles,left,gray,sedan,excellent,2.0,18600
nissan,2017,petrol,108000  miles,left,white,suv,excellent,2.0,15300
nissan,2018,petrol,78000  miles,left,gray,suv,good,2.0,18000
mercedes-benz,1996,petrol,250000  km,left,black,sedan,normal,2.0,2100
nissan,2016,petrol,100000  miles,left,black,sedan,excellent,2.0,15000
nissan,2022,petrol,11000  km,left,gray,suv,excellent,1.5,40000
mercedes-benz,1996,petrol,500000  km,left,blue,sedan,good,2.0,4200
kia,2019,petrol,40000  miles,left,gray,sedan,excellent,2.0,14000
